"date","close","high","low","open"
"2021-01-25T16:02:00.000Z",273.88,273.94,273.69,273.88
"2021-01-25T16:03:00.000Z",272.95,273.83,272.93,273.83
"2021-01-25T16:04:00.000Z",272.76,272.945,272.56,272.895
"2021-01-25T16:05:00.000Z",272.295,272.97,272.2,272.735
"2021-01-25T16:06:00.000Z",272.73,272.97,272.23,272.23
"2021-01-25T16:07:00.000Z",272.35,272.985,272.35,272.71
"2021-01-25T16:08:00.000Z",272.31,272.565,271.54,272.21
"2021-01-25T16:09:00.000Z",271.98,272.28,271.82,272.07
"2021-01-25T16:10:00.000Z",272.635,272.635,271.8,272.02
"2021-01-25T16:11:00.000Z",273.115,273.16,272.33,272.6
"2021-01-25T16:12:00.000Z",273.5,273.5,273.03,273.03
"2021-01-25T16:13:00.000Z",273.64,273.92,273.15,273.38
"2021-01-25T16:14:00.000Z",274.27,274.44,273.52,273.66
"2021-01-25T16:15:00.000Z",273.95,274.35,273.88,274.34
"2021-01-25T16:16:00.000Z",274.385,274.48,274.25,274.39
"2021-01-25T16:17:00.000Z",273.79,274.28,273.79,273.92
"2021-01-25T16:18:00.000Z",274.28,274.28,273.73,273.81
"2021-01-25T16:19:00.000Z",274.41,274.41,274.11,274.3
"2021-01-25T16:20:00.000Z",274.48,274.59,274.175,274.2
"2021-01-25T16:21:00.000Z",274.79,274.79,274.43,274.52
"2021-01-25T16:22:00.000Z",274.73,274.9,274.57,274.57
"2021-01-25T16:23:00.000Z",274.67,274.87,274.66,274.66
"2021-01-25T16:24:00.000Z",274.44,274.6,274.36,274.55
"2021-01-25T16:25:00.000Z",274.245,274.6,274.23,274.6
"2021-01-25T16:26:00.000Z",274.39,274.39,273.82,274.27
"2021-01-25T16:27:00.000Z",273.8,273.955,273.8,273.955
"2021-01-25T16:28:00.000Z",273.58,273.85,273.58,273.85
"2021-01-25T16:29:00.000Z",273.81,273.81,273.565,273.565
"2021-01-25T16:30:00.000Z",273.56,274.015,273.56,273.91
"2021-01-25T16:31:00.000Z",274.18,274.18,273.635,273.67
"2021-01-25T16:32:00.000Z",274.78,274.89,274.22,274.23
"2021-01-25T16:33:00.000Z",274.82,274.93,274.58,274.58
"2021-01-25T16:34:00.000Z",274.65,274.88,274.65,274.815
"2021-01-25T16:35:00.000Z",274.78,274.96,274.51,274.55
"2021-01-25T16:36:00.000Z",274.82,275.05,274.82,275
"2021-01-25T16:37:00.000Z",274.635,274.855,274.635,274.855
"2021-01-25T16:38:00.000Z",274.87,275.17,274.75,274.85
"2021-01-25T16:39:00.000Z",274.98,274.98,274.775,274.85
"2021-01-25T16:40:00.000Z",274.78,275.1,274.78,275
"2021-01-25T16:41:00.000Z",274.73,275.015,274.73,275.015
"2021-01-25T16:42:00.000Z",274.82,274.865,274.655,274.655
"2021-01-25T16:43:00.000Z",275.17,275.18,274.775,274.875
"2021-01-25T16:44:00.000Z",274.96,275.05,274.92,275.01
"2021-01-25T16:45:00.000Z",275.02,275.17,275.02,275.04
"2021-01-25T16:46:00.000Z",275.09,275.09,274.84,275.04
"2021-01-25T16:47:00.000Z",274.88,275,274.87,274.985
"2021-01-25T16:48:00.000Z",274.81,274.92,274.8,274.87
"2021-01-25T16:49:00.000Z",274.795,274.96,274.795,274.93
"2021-01-25T16:50:00.000Z",274.935,274.94,274.83,274.83
"2021-01-25T16:51:00.000Z",274.915,275.1,274.86,274.865
"2021-01-25T16:52:00.000Z",275.1,275.125,274.96,274.96
"2021-01-25T16:53:00.000Z",275.195,275.195,274.97,275.085
"2021-01-25T16:54:00.000Z",275.29,275.31,275.095,275.12
"2021-01-25T16:55:00.000Z",275.215,275.26,275.17,275.24
"2021-01-25T16:56:00.000Z",275.29,275.37,275.16,275.16
"2021-01-25T16:57:00.000Z",275.29,275.38,275.2,275.3
"2021-01-25T16:58:00.000Z",275.28,275.28,275.25,275.27
"2021-01-25T16:59:00.000Z",275.23,275.36,275.13,275.25
"2021-01-25T17:00:00.000Z",275.55,275.555,275.325,275.34
"2021-01-25T17:01:00.000Z",275.74,275.91,275.72,275.77
